,Text,Total num. of Words,VLength,Vader Words Matches,Semantic Score (-4 to 4),Rate of All Words / Vader Words,Date
269,  Add your name if you think its time to expand overtime protections for hardworking Americans  Fi,16,1,[expand],1.3,6.25,Sat Jul 11 10:25:04 +0000 2015
270,  Thanks to Obamacare women are saving more than a billion dollars in outofpocket contraceptive costs ,15,1,[thanks],1.9,6.66666666667,Sat Jul 11 10:24:44 +0000 2015
271,  Read  Bidens thoughts on how marriage equality makes our country a better place  LoveIsLove,14,1,[better],1.9,7.14285714286,Sat Jul 11 10:24:44 +0000 2015
274, dat is good,3,1,[good],1.9,33.3333333333,Sat Jul 11 10:24:02 +0000 2015
278,  This event is to welcome  home     LuoFestival ,7,1,[welcome],2.0,14.2857142857,Sat Jul 11 10:20:09 +0000 2015
279,      Highest level of hypocrisy UK watering and promoting corruption http,10,1,[promoting],1.5,10.0,Sat Jul 11 10:20:03 +0000 2015
282, please follow this accounttkmc3 qq,5,2,"[please, qq]",-0.45,40.0,Sat Jul 11 10:19:42 +0000 2015
283,"  Rice to blame for s change of heart

 IranDeal IranTalksvienna http",11,1,[blame],-1.4,9.09090909091,Sat Jul 11 10:19:16 +0000 2015
284,The price of a nuclear deal with Iran will be paid in the blood and suffering of the people of Syria  Obama ,22,1,[suffering],-2.1,4.54545454545,Sat Jul 11 10:18:36 +0000 2015
286,  Its been a remarkable few weeks in America President Obama,10,1,[remarkable],2.6,10.0,Sat Jul 11 10:17:28 +0000 2015
287, As we remember the Bosnian genocide let us also remember the Biafran genocide where millions of children starved and died,20,2,"[starved, died]",-2.6,10.0,Sat Jul 11 10:16:55 +0000 2015
288,"Rice to blame for s change of heart

 IranDeal IranTalksvienna ",10,1,[blame],-1.4,10.0,Sat Jul 11 10:16:55 +0000 2015
290,   help,1,1,[help],1.7,100.0,Sat Jul 11 10:16:52 +0000 2015
291,  Expect disruptions during  visit  cautions  ges2015kenya httpt,7,1,[disruptions],-1.4,14.2857142857,Sat Jul 11 10:16:52 +0000 2015
293, help,1,1,[help],1.7,100.0,Sat Jul 11 10:16:48 +0000 2015
294,"  Download LIghtRoom Photoshop For Free 
Download POP TTT For Free ",10,2,"[free, free]",2.3,20.0,Sat Jul 11 10:16:48 +0000 2015
295,   I believe it The racists came out of the woodwork in KY too but they swear theyre not racist,19,3,"[racists, swear, racist]",-1.9,15.7894736842,Sat Jul 11 10:16:47 +0000 2015
297,   ANB JOH LET ME TELL YOU WORST US LRESIDENT CUMBANG COWARD THUG WEAK FROM KENYA  ,15,3,"[worst, coward, weak]",-2.33333333333,20.0,Sat Jul 11 10:16:44 +0000 2015
298, Obama Ideologies are not defeated with guns er NAZIS were and had to be defby guns nevillechamberlain ,17,1,[defeated],-2.1,5.88235294118,Sat Jul 11 10:16:41 +0000 2015
299,     Hope you were in the opportunity to see the Jan Mostaert painting mr president http,15,2,"[hope, opportunity]",1.85,13.3333333333,Sat Jul 11 10:16:40 +0000 2015
300,  Kate Stenle isnt worthy of a  comment because shes white and was killed by an illegal Mexican ,17,3,"[worthy, killed, illegal]",-1.4,17.6470588235,Sat Jul 11 10:16:34 +0000 2015
301,  Inside s stealth startup  via  longreads digitalist,7,1,[stealth],-0.3,14.2857142857,Sat Jul 11 10:16:24 +0000 2015
302, mate iv heard you know what happens to Jon Snow please feel free to inbox me as I cant wait until next year xxxxxxxxxxxxx,24,2,"[please, free]",1.8,8.33333333333,Sat Jul 11 10:15:09 +0000 2015
303, Mr Obama what happened to Jon Snow Is he really dead,11,1,[dead],-3.3,9.09090909091,Sat Jul 11 10:14:23 +0000 2015
304,  This is why the GOP has pretty much had to resort to the Obama is a poopyhead argument   ,18,2,"[pretty, argument]",0.35,11.1111111111,Sat Jul 11 10:13:05 +0000 2015
307,  i cant believe kjis smile is the solution to world peace   ,11,3,"[smile, solution, peace]",1.76666666667,27.2727272727,Sat Jul 11 10:11:36 +0000 2015
308,  citizens and the countries not in safe hands because  of your unlawful corruptions and murdering games,16,2,"[safe, murdering]",-0.7,12.5,Sat Jul 11 10:11:32 +0000 2015
309,   Barack Obama is The Smiling Assassin Childkiller and backer of Ukraine state terrorism,13,2,"[smiling, terrorism]",-0.8,15.3846153846,Sat Jul 11 10:11:30 +0000 2015
313,  you making wonderful citizens of this world so powerless with your bombs and ammunition practices,15,2,"[wonderful, powerless]",0.25,13.3333333333,Sat Jul 11 10:11:01 +0000 2015
314,  Why Bc Im a GREAT person inside and out why post so many photos can only produce more positives and represents me best My eyes,25,3,"[great, positives, best]",2.9,12.0,Sat Jul 11 10:10:50 +0000 2015
316, Hausa Fulani Boko Haram Has Continued Their Killings Against We Christians And Biafra People AndThatIsUnaccepted To Us IPOB,18,1,[killings],-3.5,5.55555555556,Sat Jul 11 10:10:39 +0000 2015
317,Understands why I put myself on the chopping block onlinebc Im positive nomatter how many negativesget thrown atme good occurs,20,3,"[block, positive, good]",0.866666666667,15.0,Sat Jul 11 10:10:38 +0000 2015
318,  yay USA cute,3,2,"[yay, cute]",2.2,66.6666666667,Sat Jul 11 10:10:37 +0000 2015
319,  Man tell us what happens to Jon Snow IS HE ALIVE Any bets red cape lady does stuff,18,1,[alive],1.6,5.55555555556,Sat Jul 11 10:10:37 +0000 2015
320,Some friends of mine call me Plato Aristotle Socrates The Kenyan   The new the late the iconic the oratoric Thomas Joseph,21,1,[friends],2.1,4.7619047619,Sat Jul 11 10:10:37 +0000 2015
322, please follow this accounttkmc3 aa,5,1,[please],1.3,20.0,Sat Jul 11 10:10:36 +0000 2015
323, you said Black community needs policemen in their community but FBI  data show that 69 of crime in USA is committed by whites,23,2,"[crime, committed]",-0.7,8.69565217391,Sat Jul 11 10:10:36 +0000 2015
325,   ORGANIZATION AGAINST LEGAL ABUSE OALA     ,5,2,"[legal, abuse]",-1.35,40.0,Sat Jul 11 10:10:34 +0000 2015
326,  Iran is playing   and   like Two Big Suckers ,8,3,"[playing, like, suckers]",0.0,37.5,Sat Jul 11 10:10:34 +0000 2015
328, was just an idea Vehicles that actually cleaned the environment would have increased speed up for the clean up many times over,22,2,"[increased, clean]",1.4,9.09090909091,Sat Jul 11 10:10:32 +0000 2015
329,I think  would be a good replacement for Jon Stewart,10,1,[good],1.9,10.0,Sat Jul 11 10:10:31 +0000 2015
330,    Abdulla mate you on a heroin trip and spreading falsehood  Just stop meddling with US Muslims ,16,2,"[heroin, stop]",-1.7,12.5,Sat Jul 11 10:10:31 +0000 2015
331, I just had a great idea the new hydro vehicles actually clean air if years polluted to get us here then years cleaning needed,24,3,"[great, clean, polluted]",0.933333333333,12.5,Sat Jul 11 10:10:30 +0000 2015
332, is abusing his power to gain access to TV storylines,10,2,"[abusing, gain]",0.2,20.0,Sat Jul 11 10:10:30 +0000 2015
333,    Highest level of hypocrisy UK watering and promoting corruption ,9,1,[promoting],1.5,11.1111111111,Sat Jul 11 10:10:30 +0000 2015
334, Pls can you RT to my wife  and 2 eldest girls climbing snowdon in UK for Charity donate ,18,2,"[pls, charity]",1.05,11.1111111111,Sat Jul 11 10:10:29 +0000 2015
335, watching you talk with Sir David Attenborough was amazing The smile you had when meeting him was the same as mine when I did,24,2,"[amazing, smile]",2.15,8.33333333333,Sat Jul 11 10:10:28 +0000 2015
336,"Muslims entering the WhiteHouse and ask  to leave after gay marriage approval

",12,2,"[leave, approval]",0.95,16.6666666667,Sat Jul 11 10:10:26 +0000 2015
338,   Ill state the obvious You be normal Okay replies ,9,2,"[ill, okay]",-0.45,22.2222222222,Sat Jul 11 10:10:22 +0000 2015
339,  my dick is cold warm it up for me  ,9,2,"[dick, warm]",-0.7,22.2222222222,Sat Jul 11 10:10:16 +0000 2015
342,  Sending FridayFollow love to       ,4,1,[love],3.2,25.0,Sat Jul 11 10:10:11 +0000 2015
343, Legal Advice by Molly   We put  in Bindings via Miss Fischmans Climb ,12,2,"[legal, miss]",-0.05,16.6666666667,Sat Jul 11 10:10:11 +0000 2015
345," MR PRESIDENT PLEASE SAVE GREECE 
GREECE IS THE LIGHT OF EUROPEDONT LET EUROPE WITHOUT LIGHT",15,2,"[please, save]",1.75,13.3333333333,Sat Jul 11 10:10:06 +0000 2015
346,There was no Cou we just d  via Molly  online We Share the Same Interests,15,3,"[no, share, interests]",0.333333333333,20.0,Sat Jul 11 10:10:05 +0000 2015
347," 
lol
That guy
divided
like theCivil War huh
dont teach that in the south
Oh
Get the NET
Alot has happened since then",23,3,"[lol, like, war]",0.5,13.0434782609,Sat Jul 11 10:10:05 +0000 2015
348,pls promote my ig post      thank you,7,3,"[pls, promote, thank]",1.13333333333,42.8571428571,Sat Jul 11 10:10:00 +0000 2015
349,my dick is cold warm it up for me  ,9,2,"[dick, warm]",-0.7,22.2222222222,Sat Jul 11 10:09:56 +0000 2015
350,  its your games of poisoning thats makes lives lossthese are war crimes against innocence people,15,3,"[poisoning, war, innocence]",-1.36666666667,20.0,Sat Jul 11 10:09:55 +0000 2015
351,  Today we can say in no uncertain terms that weve made our union a little more perfect President Obama LoveWins,20,3,"[no, uncertain, perfect]",0.1,15.0,Sat Jul 11 10:09:55 +0000 2015
352,  Bruhhh sir they charging 125 for Arizonas now  help us BlackLivesMatter,11,1,[help],1.7,9.09090909091,Sat Jul 11 10:09:53 +0000 2015
354,  The freedom to marry who you lovethats now open to all of us Thats a good thing President Obama LoveWins,20,2,"[freedom, good]",2.55,10.0,Sat Jul 11 10:09:53 +0000 2015
355,   screams mymollydolls  and   Great team Super organized now USA,9,3,"[screams, great, super]",1.6,33.3333333333,Sat Jul 11 10:09:52 +0000 2015
357,  you murdering anyone gets in your ways following  unlawful behaviour towards us u in this toge,16,1,[murdering],-3.3,6.25,Sat Jul 11 10:09:46 +0000 2015
359,  But not as upset as Maverick fans are about the loss of DeAndre Jordan,14,2,"[upset, loss]",-1.45,14.2857142857,Sat Jul 11 10:09:45 +0000 2015
360,I think    can help me pay my school fees and high school balance ,13,2,"[help, pay]",0.65,15.3846153846,Sat Jul 11 10:09:44 +0000 2015
361, good work done,3,1,[good],1.9,33.3333333333,Sat Jul 11 10:09:39 +0000 2015
362,   latest action on SolarEnergy will drive innovation towards cleaner lowcarbon energy solutions httpt,13,4,"[innovation, cleaner, energy, solutions]",1.025,30.7692307692,Sat Jul 11 10:09:34 +0000 2015
364, what are you and  doing to citizens  inparticuler to my familyis your poisoning that makes us illthen its twis,19,1,[poisoning],-2.8,5.26315789474,Sat Jul 11 10:09:33 +0000 2015
365,     I am also happy Im very flattered that Im around leaders and captains,13,2,"[happy, flattered]",2.15,15.3846153846,Sat Jul 11 10:09:27 +0000 2015
366,     I am so happy right now knowing the man that I love knows that I love him,17,3,"[happy, love, love]",3.03333333333,17.6470588235,Sat Jul 11 10:09:26 +0000 2015
367,     Germany wants Greece to suffer Do your homework,8,1,[suffer],-2.5,12.5,Sat Jul 11 10:09:23 +0000 2015
369,  so am I Devasted We needed a drink to cheer ourselves up ,12,1,[cheer],2.3,8.33333333333,Sat Jul 11 10:09:23 +0000 2015
370,       how is my favorite family doing,6,1,[favorite],2.0,16.6666666667,Sat Jul 11 10:09:21 +0000 2015
371, I  RESPECT  YOU I  SALUTE  FOR  YOU  AND  I  VERY  VERY  LIKE  YOU   THANKS,14,3,"[respect, like, thanks]",1.83333333333,21.4285714286,Sat Jul 11 10:09:18 +0000 2015
372,    But seeing greece suffer is not going to be pretty but what are the consequences for Europe,17,2,"[suffer, pretty]",-0.15,11.7647058824,Sat Jul 11 10:09:18 +0000 2015
373,i cant believe kjis smile is the solution to world peace   ,11,3,"[smile, solution, peace]",1.76666666667,27.2727272727,Sat Jul 11 10:09:16 +0000 2015
374,Via  s best s Legacy    PublicEdRevolution,6,1,[best],3.2,16.6666666667,Sat Jul 11 10:09:11 +0000 2015
376,Hey my friend  do the 11th of July the next independance day cuz  was born Thanks and see you at the barbecue,22,2,"[friend, thanks]",2.05,9.09090909091,Sat Jul 11 10:09:11 +0000 2015
377,   How do we know  is not just wanting Europe to split if they split it would only serve him surely,20,1,[surely],1.9,5.0,Sat Jul 11 10:09:10 +0000 2015
378, please follow this accounttkmc3a,4,1,[please],1.3,25.0,Sat Jul 11 10:09:06 +0000 2015
379,  Mom who lost her son Feb24 asks  wholl be at  Whyd you free my sons killer ,16,3,"[lost, free, killer]",-0.766666666667,18.75,Sat Jul 11 10:09:02 +0000 2015
382,  New Jerseys lowincome families will have better access to home solar thanks to s administration ,15,2,"[better, thanks]",1.9,13.3333333333,Sat Jul 11 10:08:57 +0000 2015
383,If I dont even have time to watch  no way President of the United States  has time to watch that show,21,2,"[no, united]",0.3,9.52380952381,Sat Jul 11 10:08:54 +0000 2015
384, great job,2,1,[great],3.1,50.0,Sat Jul 11 10:08:52 +0000 2015
385,They will kill any of the stars to keep them on their toes and save money   GameOfThrones SeanBean JasonMamoa,19,2,"[kill, save]",-0.75,10.5263157895,Sat Jul 11 10:08:51 +0000 2015
389,s Legacy  via  s best post ever  PublicEdRevolution,8,1,[best],3.2,12.5,Sat Jul 11 10:08:40 +0000 2015
390,     how is my favorite family doing,6,1,[favorite],2.0,16.6666666667,Sat Jul 11 10:08:37 +0000 2015
395,  Hell be back,3,1,[hell],-3.6,33.3333333333,Sat Jul 11 10:06:15 +0000 2015
396,      How better off is Greece since it joined the Euro,10,1,[better],1.9,10.0,Sat Jul 11 10:06:08 +0000 2015
397,      If we get the Euro can we then ask for billions every time we are in debt,17,1,[debt],-1.5,5.88235294118,Sat Jul 11 10:06:03 +0000 2015
400,   you need help ,3,1,[help],1.7,33.3333333333,Sat Jul 11 10:05:14 +0000 2015
402, you need help ,3,1,[help],1.7,33.3333333333,Sat Jul 11 10:04:24 +0000 2015
403,How do you feel knowing youre the first and last black president of the United States ,16,1,[united],1.8,6.25,Sat Jul 11 10:03:36 +0000 2015
404, Shouldnt you be focused on more important things like the OPM hack and ISIS ,14,3,"[focused, important, like]",1.3,21.4285714286,Sat Jul 11 10:03:33 +0000 2015
407,          Thanks,1,1,[thanks],1.9,100.0,Sat Jul 11 10:02:17 +0000 2015
408,   also the Italian people are AWESOME,6,1,[awesome],3.1,16.6666666667,Sat Jul 11 10:02:11 +0000 2015
409,   Those women were definitely fair looking not as pretty as me,11,3,"[definitely, fair, pretty]",1.73333333333,27.2727272727,Sat Jul 11 10:01:52 +0000 2015
410, the increase in gas prices OVERNIGHT is making me wanna become republican,12,1,[increase],1.3,8.33333333333,Sat Jul 11 10:01:46 +0000 2015
412,  Sweeter than sweet   blowing on a dandelion with a young child ,11,1,[sweet],2.0,9.09090909091,Sat Jul 11 10:01:08 +0000 2015
413,Sweeter than sweet   blowing on a dandelion with a young child ,11,1,[sweet],2.0,9.09090909091,Sat Jul 11 10:01:05 +0000 2015
414,GameOfThrones superfan  is very upset about the death of Jon Snow  ,11,2,"[upset, death]",-2.25,18.1818181818,Sat Jul 11 10:01:04 +0000 2015
415,Hey  TyrantInChief LOOKY HERE  Only 22 of Americans Favor Increased Immigration  UniteBlue tcot,13,2,"[favor, increased]",1.4,15.3846153846,Sat Jul 11 10:00:54 +0000 2015
417,   is     and more in new Energy video  ,7,1,[energy],1.1,14.2857142857,Sat Jul 11 10:00:40 +0000 2015
419,"  My dream is that you be one of your people
Phil serve you investigator dreams",15,2,"[dream, dreams]",1.35,13.3333333333,Sat Jul 11 10:00:03 +0000 2015
420, mr president im scared i dont know what to do,10,1,[scared],-1.9,10.0,Sat Jul 11 09:59:35 +0000 2015
421, SIMPEL THE BEST PRESIDENT IN USA HISTORY dank uw  ,9,1,[best],3.2,11.1111111111,Sat Jul 11 09:59:34 +0000 2015
424, idk to be honest I blame it on ,8,3,"[idk, honest, blame]",0.166666666667,37.5,Sat Jul 11 09:58:05 +0000 2015
427,   is the only American  you could reliably trust to DJ a party  ,12,2,"[trust, party]",2.0,16.6666666667,Sat Jul 11 09:57:08 +0000 2015
428,  Who is it going to hell for   ,7,1,[hell],-3.6,14.2857142857,Sat Jul 11 09:56:57 +0000 2015
429,   restoration of Biafra is the future of Africa Grant freedom of Biafra from Nigeria Biafra is the key to Afric,20,2,"[grant, freedom]",2.35,10.0,Sat Jul 11 09:56:42 +0000 2015
430,  No matter where you live this is a special time of year to be an American President Obama,18,3,"[no, matter, special]",0.2,16.6666666667,Sat Jul 11 09:55:43 +0000 2015
431,Inside s stealth startup  via  longreads digitalist,7,1,[stealth],-0.3,14.2857142857,Sat Jul 11 09:55:21 +0000 2015
432,  The Northern part of Nigeria is both a threat to the west and east Split the country now   ,18,1,[threat],-2.4,5.55555555556,Sat Jul 11 09:54:57 +0000 2015
433, Greece is the only country which had the courage to speak out against the dictatorship of Germany to the EU,20,1,[courage],2.2,5.0,Sat Jul 11 09:54:31 +0000 2015
436,Werent you going to legalize the hemp industry in America   How is the nonpsycho active part of the plant illegal,20,2,"[active, illegal]",-0.45,10.0,Sat Jul 11 09:53:55 +0000 2015
440,   Nothing could be further from truth,6,1,[truth],1.3,16.6666666667,Sat Jul 11 09:52:56 +0000 2015
441, ANKARA MAYOR AKP in Ankara is dead I NEVER EVENTS PLEASE instigator of our people KILLS ONE of the AKP YE STOP Press MAY DAY,25,4,"[dead, please, kills, stop]",-1.425,16.0,Sat Jul 11 09:52:38 +0000 2015
442,  This is finally a proactive step for the country We either pay modestly now or pay substantially in the longrun,20,3,"[proactive, pay, pay]",0.333333333333,15.0,Sat Jul 11 09:52:18 +0000 2015
445,  forcing Thats like say Obama is forcing you to pay taxes,11,2,"[like, pay]",0.55,18.1818181818,Sat Jul 11 09:51:31 +0000 2015
446,What are the chances Another  sanctioned murder to protect his lies and crims RedNationRising PJNET ,15,4,"[chances, murder, protect, lies]",-0.775,26.6666666667,Sat Jul 11 09:51:20 +0000 2015
447,  The TRUTH about s unemployment numbers tcot teaparty  jobs  ,9,2,"[truth, unemployment]",-0.3,22.2222222222,Sat Jul 11 09:50:28 +0000 2015
448,        Im surprised Im not banned from Twitter yet,8,2,"[surprised, banned]",-0.55,25.0,Sat Jul 11 09:50:27 +0000 2015
452,   Sad Sickening Traitorous Disgusting Shame on you   True colors are shining through,12,5,"[sad, sickening, disgusting, shame, true]",-1.44,41.6666666667,Sat Jul 11 09:48:12 +0000 2015
453,if i had a dollar for every tear of despair shed over my student loans i could pay them off ,20,2,"[despair, pay]",-0.85,10.0,Sat Jul 11 09:47:07 +0000 2015
454,   smdh  stupidity of some of todays youths    ,7,1,[stupidity],-1.9,14.2857142857,Sat Jul 11 09:47:00 +0000 2015
455,   iam ashamed bearing Nigerian identity I want to be identified as a biafran pls restored Biafra now,17,4,"[ashamed, want, pls, restored]",-0.025,23.5294117647,Sat Jul 11 09:46:44 +0000 2015
456, smdh  stupidity of some of todays youths    ,7,1,[stupidity],-1.9,14.2857142857,Sat Jul 11 09:45:18 +0000 2015
457,   1v1 quick scope with me your house mw2 xbox 360 ill bring  and  to be the refs,17,1,[ill],-1.8,5.88235294118,Sat Jul 11 09:45:16 +0000 2015
459,  Everyone deserves the same benefits no matter who they love  LoveIsLove Try asking Osborne,14,4,"[benefits, no, matter, love]",0.925,28.5714285714,Sat Jul 11 09:43:45 +0000 2015
460,     The Goodness overcame evil  USA AND RUSSIAFRIENDS,7,2,"[goodness, evil]",-0.7,28.5714285714,Sat Jul 11 09:43:22 +0000 2015
461,"This woman has helped me to cope with the difficulties of everyday life and enjoy life 
 and  ",17,2,"[difficulties, enjoy]",0.5,11.7647058824,Sat Jul 11 09:42:40 +0000 2015
462,     The Goodness overcame evil PALESTINE AND ISRAELFRIENDS,7,2,"[goodness, evil]",-0.7,28.5714285714,Sat Jul 11 09:42:23 +0000 2015
463, 1v1 quick scope with me your house mw2 xbox 360 ill bring  and  to be the refs,17,1,[ill],-1.8,5.88235294118,Sat Jul 11 09:42:10 +0000 2015
465, you my hero,3,1,[hero],2.6,33.3333333333,Sat Jul 11 09:41:37 +0000 2015
467,A fanatic is someone who redoubles his efforts while losing sight of his goal But undoing America is the  goal immigration,21,1,[losing],-1.6,4.7619047619,Sat Jul 11 09:40:47 +0000 2015
468,And I suppose one is shocked that attorneyGeneral for  is returning to defend WallStreet  Or not OWS boycott,18,2,"[shocked, boycott]",-1.3,11.1111111111,Sat Jul 11 09:40:29 +0000 2015
469, is there a schedule to be able to attend  s visits to Oklahoma I really want to see my president,20,1,[want],0.3,5.0,Sat Jul 11 09:40:07 +0000 2015
471,   I got mad at him too many kids died I slammed my watch into the walkway behind his house at night,21,2,"[mad, died]",-2.4,9.52380952381,Sat Jul 11 09:39:04 +0000 2015
473,Can treaty power be used to lock away the ladder of upward mobility  The courts say no rewritetherules ,18,1,[no],-1.2,5.55555555556,Sat Jul 11 09:38:23 +0000 2015
474,Who is your leader  Listen and check in with him too is your duty Okay ,15,1,[okay],0.9,6.66666666667,Sat Jul 11 09:38:16 +0000 2015
476,  citizens killed by illegal immigrants and u do and say nothing stop playing politics and help the citizens we pay your salary,22,6,"[killed, illegal, stop, playing, help, pay]",-0.866666666667,27.2727272727,Sat Jul 11 09:37:04 +0000 2015
477,        Someone Help This Man lol,5,2,"[help, lol]",2.3,40.0,Sat Jul 11 09:36:47 +0000 2015
478,Can it escalate Oh yes Obama just gave Iran nukes at IranTalks Next is  ICBMs then Kurdistan   ,17,1,[yes],1.7,5.88235294118,Sat Jul 11 09:36:45 +0000 2015
479, This is the epitome of stagnation and complacency  continues to prove that hes grossly incompetent to be POTUS,18,2,"[grossly, incompetent]",-1.5,11.1111111111,Sat Jul 11 09:36:38 +0000 2015
480,"Free Leonard Peltier   Amnesty International
  
  ",5,1,[free],2.3,20.0,Sat Jul 11 09:35:26 +0000 2015
481,"   
Please dont refer to  as Mr President This illegitimate puppet show is an af",14,1,[please],1.3,7.14285714286,Sat Jul 11 09:34:45 +0000 2015
483, your visit to Oklahoma is special Id love to see you speak is there a forum that I can attend ,20,2,"[special, love]",2.45,10.0,Sat Jul 11 09:34:02 +0000 2015
484,           EW GT AWY PRVRTS,4,1,[gt],1.1,25.0,Sat Jul 11 09:33:46 +0000 2015
486,         EW GT AWY PRVRTS ,4,1,[gt],1.1,25.0,Sat Jul 11 09:33:04 +0000 2015
487,       The sick world the man world,6,1,[sick],-2.3,16.6666666667,Sat Jul 11 09:32:51 +0000 2015
489,   damn ,1,1,[damn],-1.7,100.0,Sat Jul 11 09:31:51 +0000 2015
491,     just like every one of OGs victims does after he drops a load in their eye,16,2,"[like, victims]",0.1,12.5,Sat Jul 11 09:31:45 +0000 2015
492,  Free 3D Printable of the Week Pres   via   3dprinting h,10,1,[free],2.3,10.0,Sat Jul 11 09:31:36 +0000 2015
493,   just like every one of OGs victims does after he drops a load in their eye ,16,2,"[like, victims]",0.1,12.5,Sat Jul 11 09:30:57 +0000 2015
494, Kill this oneplease thank youall the things couldnt be usedand full of many kinds of poisonsThis is the major criminals,20,3,"[kill, thank, criminals]",-1.63333333333,15.0,Sat Jul 11 09:30:55 +0000 2015
499,  Biafra need justice for the genocide        http,7,1,[justice],2.4,14.2857142857,Sat Jul 11 09:29:20 +0000 2015
500, What is British Govt doing with one of the most corrupt men on earth Cameron stop supporting corruption in Nigeria,20,2,"[stop, supporting]",0.35,10.0,Sat Jul 11 09:28:55 +0000 2015
501, Texas officially became a White supremacist state the day after  became   like living in a horror movie,17,3,"[supremacist, like, horror]",-0.233333333333,17.6470588235,Sat Jul 11 09:27:54 +0000 2015
502,"Eye for Eye Tooth for Tooth

  CharlesWindsor  KNEW the LAW

TERROR in PROGRESS has said The Lord EL",18,2,"[terror, progress]",-0.3,11.1111111111,Sat Jul 11 09:27:46 +0000 2015
503,  maddow proof  has an awesome spokeswoman n  Karen Hillary2016 gives  credit 4 where w,14,2,"[awesome, credit]",2.35,14.2857142857,Sat Jul 11 09:27:32 +0000 2015
505,"  HELP US 
Appealing for support for the three Zubair children in Lahore who suffer LGMD2D",15,3,"[help, support, suffer]",0.3,20.0,Sat Jul 11 09:26:05 +0000 2015
